time,6-12 keV,12-25 keV,25-50 keV,50-100 keV,100-300 keV,300-800 keV
09/11/13 05:25,19.57,105.189,155.826,136.256,149.466,44.7664
09/11/13 05:25,18.5899,100.532,150.431,128.172,142.849,43.0502
09/11/13 05:25,20.3014,102.974,147.98,116.182,132.081,42.8041
09/11/13 05:25,23.4819,93.1938,149.697,126.704,152.388,40.6041
09/11/13 05:25,22.2595,98.0887,152.637,126.463,135.269,45.4975
09/11/13 05:25,18.5901,110.807,148.231,129.397,136.49,44.2737
09/11/13 05:25,18.3462,103.473,151.662,135.518,136.985,44.031
09/11/13 05:25,25.439,104.691,140.893,124.504,141.627,42.0722
09/11/13 05:25,20.7938,100.789,157.299,125.741,146.291,51.3729
09/11/13 05:26,18.8337,98.0821,147.49,128.901,135.26,42.0701
09/11/13 05:26,21.526,100.047,149.215,136.739,136.005,47.9444
09/11/13 05:26,24.9508,104.94,150.438,131.603,140.165,46.4769
